Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group:Transaction - Register,40,10502,10165,14799,17204,18015,5959,18015,0.000%,.15008,3.90,0.32
Thread Group:Transaction - Login,40,41037,41351,43766,44187,45914,36095,45914,100.000%,.13261,10.99,1.24
Thread Group:Transaction - Welcome,40,26489,26254,29170,29862,33583,23266,33583,0.000%,.13984,9.55,0.62
Thread Group:Transaction - Analytics,40,16646,16465,17973,18983,19363,14677,19363,0.000%,.14393,9.63,0.33
Thread Group:Transaction - Appstracker,40,13731,13875,14918,15851,16317,11370,16317,0.000%,.14697,10.36,0.33
Thread Group:Transaction - Discover-new-apps,36,13543,13659,15411,15419,18679,9530,18679,0.000%,.13837,10.05,0.31
Thread Group:Transaction - Dashboard,20,27857,27857,29735,30116,30173,25272,30173,0.000%,.42962,33.51,2.06
Thread Group:admin-ajax/disable_walkthrough_session,20,9781,9620,10552,10812,10919,8954,10919,0.000%,.68145,0.41,1.77
Thread Group:admin-ajax/pafe_ajax_form_builder,20,14100,14080,15097,15312,15807,12620,15807,0.000%,.57238,0.41,1.97
Thread Group:Home,20,28239,28160,29348,29528,31273,26577,31273,0.000%,.37325,29.15,1.64
Thread Group:admin-ajax/load_BrandRssFeed_modal,20,10588,10979,12103,12336,12453,8294,12453,0.000%,.61295,0.38,1.59
Thread Group:admin-ajax/load_GlobalRssFeed_modal,20,11874,12164,13293,13396,13679,6433,13679,0.000%,.72121,1.57,1.87
Thread Group:get_refreshed_fragments&elementor_page_id=195,20,5339,5666,7505,7529,7595,2061,7595,0.000%,1.24154,2.83,2.92
Thread Group:schedule.squarestack/portal-embed,20,936,903,1051,1139,1581,547,1581,0.000%,2.02737,12.88,1.72
Thread Group:WEB_CUSTOMER_BOOKING_SETTING/viewrecords,60,317,313,375,388,404,268,446,0.000%,4.68933,4.90,6.44
Thread Group:WEB_CUSTOMER_STAFF_VIEW/viewrecords,20,325,313,370,427,430,274,430,0.000%,2.32315,2.43,2.95
Thread Group:WEB_BOOKING_IMAGE/viewrecords,20,322,313,351,374,446,272,446,0.000%,2.30654,2.41,2.91
Thread Group:WEB_CUSTOMER_SERVICE/viewrecords,20,324,323,363,396,425,265,425,0.000%,2.29832,2.40,3.01
Thread Group:Transaction - Load Apps,20,82786,83089,86310,86762,86786,76370,86786,0.000%,.19648,19.08,5.26
Thread Group:Debug Sampler,20,0,0,1,1,1,0,1,0.000%,2.38124,1.63,0.00
TOTAL,556,15634,12543,37625,43434,85364,0,86786,7.194%,1.50603,55.95,5.60
